id,from_pages,from_issues,newspaper_id
indeplux-1873-01-10-a-p0006,,True,indeplux
indeplux-1876-02-16-a-p0008,,True,indeplux
indeplux-1878-11-15-a-p0008,,True,indeplux
indeplux-1881-05-05-a-p0006,,True,indeplux
indeplux-1886-04-15-a-p0001,,True,indeplux
indeplux-1886-04-15-a-p0002,,True,indeplux
indeplux-1886-04-16-a-p0001,,True,indeplux
indeplux-1886-04-16-a-p0002,,True,indeplux
indeplux-1886-04-17-a-p0001,,True,indeplux
indeplux-1886-04-17-a-p0002,,True,indeplux
indeplux-1899-10-28-a-p0006,,True,indeplux
indeplux-1908-05-26-a-p0006,,True,indeplux
indeplux-1911-12-29-a-p0004,,True,indeplux
indeplux-1918-11-21-a-p0004,,True,indeplux
indeplux-1920-12-30-a-p0004,,True,indeplux
indeplux-1923-11-06-b-p0006,,True,indeplux
indeplux-1924-01-06-b-p0002,,True,indeplux
indeplux-1924-03-27-a-p0006,,True,indeplux
indeplux-1924-11-25-b-p0001,,True,indeplux
indeplux-1924-11-25-b-p0002,,True,indeplux
indeplux-1925-12-19-a-p0003,,True,indeplux
indeplux-1925-12-19-a-p0004,,True,indeplux
luxembourg1935-1935-05-31-a-p0002,,True,luxembourg1935
luxembourg1935-1937-04-09-a-p0006,,True,luxembourg1935
luxwort-1860-09-26-a-p0003,,True,luxwort
luxwort-1860-10-07-a-p0003,,True,luxwort
luxwort-1860-11-01-a-p0002,,True,luxwort
tageblatt-1913-10-11-a-p0007,,True,tageblatt
tageblatt-1913-10-11-a-p0008,,True,tageblatt
tageblatt-1913-10-11-a-p0009,,True,tageblatt
tageblatt-1913-10-11-a-p0010,,True,tageblatt
tageblatt-1920-05-05-a-p0003,,True,tageblatt
tageblatt-1920-05-05-a-p0004,,True,tageblatt
tageblatt-1920-05-08-a-p0003,,True,tageblatt
tageblatt-1920-05-08-a-p0004,,True,tageblatt
tageblatt-1920-05-15-a-p0003,,True,tageblatt
tageblatt-1920-05-15-a-p0004,,True,tageblatt
tageblatt-1920-05-22-a-p0003,,True,tageblatt
tageblatt-1920-05-22-a-p0004,,True,tageblatt
tageblatt-1920-05-26-a-p0004,,True,tageblatt
tageblatt-1920-05-29-a-p0006,,True,tageblatt
tageblatt-1920-06-02-a-p0004,,True,tageblatt
tageblatt-1920-06-05-a-p0003,,True,tageblatt
tageblatt-1920-06-05-a-p0004,,True,tageblatt
tageblatt-1920-06-09-a-p0004,,True,tageblatt
tageblatt-1920-06-12-a-p0004,,True,tageblatt
tageblatt-1920-06-16-a-p0004,,True,tageblatt
tageblatt-1920-06-19-a-p0003,,True,tageblatt
tageblatt-1920-06-19-a-p0004,,True,tageblatt
tageblatt-1920-06-23-a-p0004,,True,tageblatt
tageblatt-1920-06-28-a-p0004,,True,tageblatt
tageblatt-1920-07-29-a-p0004,,True,tageblatt
tageblatt-1920-07-29-a-p0005,,True,tageblatt
tageblatt-1920-09-29-a-p0004,,True,tageblatt
tageblatt-1922-01-03-a-p0003,,True,tageblatt
tageblatt-1922-01-03-a-p0004,,True,tageblatt
tageblatt-1922-01-04-a-p0003,,True,tageblatt
tageblatt-1922-01-04-a-p0004,,True,tageblatt
tageblatt-1922-01-11-a-p0003,,True,tageblatt
tageblatt-1922-01-11-a-p0004,,True,tageblatt
tageblatt-1922-01-18-a-p0003,,True,tageblatt
tageblatt-1922-01-18-a-p0004,,True,tageblatt
tageblatt-1922-01-25-a-p0004,,True,tageblatt
tageblatt-1922-03-02-a-p0004,,True,tageblatt
tageblatt-1922-03-08-a-p0004,,True,tageblatt
tageblatt-1922-03-15-a-p0005,,True,tageblatt
tageblatt-1922-03-15-a-p0006,,True,tageblatt
tageblatt-1922-03-22-a-p0004,,True,tageblatt
tageblatt-1922-03-29-a-p0003,,True,tageblatt
tageblatt-1922-03-29-a-p0004,,True,tageblatt
tageblatt-1922-04-12-a-p0005,,True,tageblatt
tageblatt-1922-04-12-a-p0006,,True,tageblatt
tageblatt-1922-04-20-a-p0005,,True,tageblatt
tageblatt-1922-04-20-a-p0006,,True,tageblatt
tageblatt-1922-04-26-a-p0003,,True,tageblatt
tageblatt-1922-04-26-a-p0004,,True,tageblatt
tageblatt-1922-05-04-a-p0004,,True,tageblatt
tageblatt-1922-05-09-a-p0003,,True,tageblatt
tageblatt-1922-05-09-a-p0004,,True,tageblatt
tageblatt-1922-05-16-a-p0003,,True,tageblatt
tageblatt-1922-05-16-a-p0004,,True,tageblatt
tageblatt-1922-05-23-a-p0003,,True,tageblatt
tageblatt-1922-05-23-a-p0004,,True,tageblatt
tageblatt-1922-05-30-a-p0005,,True,tageblatt
tageblatt-1922-05-30-a-p0006,,True,tageblatt
tageblatt-1922-06-07-a-p0004,,True,tageblatt
tageblatt-1922-06-13-a-p0003,,True,tageblatt
tageblatt-1922-06-13-a-p0004,,True,tageblatt
tageblatt-1922-06-20-a-p0003,,True,tageblatt
tageblatt-1922-06-20-a-p0004,,True,tageblatt
tageblatt-1922-06-27-a-p0004,,True,tageblatt
tageblatt-1922-07-04-a-p0004,,True,tageblatt
tageblatt-1922-07-11-a-p0003,,True,tageblatt
tageblatt-1922-07-11-a-p0004,,True,tageblatt
tageblatt-1922-07-18-a-p0003,,True,tageblatt
tageblatt-1922-07-18-a-p0004,,True,tageblatt
tageblatt-1922-07-25-a-p0004,,True,tageblatt
tageblatt-1922-08-01-a-p0004,,True,tageblatt
tageblatt-1922-08-08-a-p0003,,True,tageblatt
tageblatt-1922-08-08-a-p0004,,True,tageblatt
tageblatt-1922-08-16-a-p0005,,True,tageblatt
tageblatt-1922-08-16-a-p0006,,True,tageblatt
tageblatt-1922-08-22-a-p0004,,True,tageblatt
tageblatt-1922-08-29-a-p0004,,True,tageblatt
tageblatt-1922-09-05-a-p0004,,True,tageblatt
tageblatt-1922-09-19-a-p0004,,True,tageblatt
tageblatt-1922-09-26-a-p0004,,True,tageblatt
tageblatt-1922-10-04-a-p0003,,True,tageblatt
tageblatt-1922-10-04-a-p0004,,True,tageblatt
tageblatt-1922-10-17-a-p0003,,True,tageblatt
tageblatt-1922-10-17-a-p0004,,True,tageblatt
tageblatt-1922-10-24-a-p0003,,True,tageblatt
tageblatt-1922-10-24-a-p0004,,True,tageblatt
tageblatt-1922-11-07-a-p0004,,True,tageblatt
tageblatt-1922-11-14-a-p0003,,True,tageblatt
tageblatt-1922-11-14-a-p0004,,True,tageblatt
tageblatt-1922-11-14-a-p0006,,True,tageblatt
tageblatt-1922-11-21-a-p0005,,True,tageblatt
tageblatt-1922-11-21-a-p0006,,True,tageblatt
tageblatt-1922-11-23-a-p0003,,True,tageblatt
tageblatt-1922-11-23-a-p0004,,True,tageblatt
tageblatt-1922-11-28-a-p0004,,True,tageblatt
tageblatt-1922-12-05-a-p0004,,True,tageblatt
tageblatt-1922-12-09-a-p0003,,True,tageblatt
tageblatt-1922-12-09-a-p0004,,True,tageblatt
tageblatt-1922-12-09-a-p0010,,True,tageblatt
tageblatt-1922-12-09-a-p0011,,True,tageblatt
tageblatt-1922-12-12-a-p0004,,True,tageblatt
tageblatt-1922-12-19-a-p0004,,True,tageblatt
